Cluster,Point,Reading Time,Import,Export
1A,01,2024-08-01 08:33:00+00:00,,
1A,02,2024-08-01 08:33:00+00:00,,
1A,03,2024-08-01 08:33:00+00:00,,
1A,04,2024-08-01 08:33:00+00:00,3310.0,5339.0
1A,05,2024-08-01 08:33:00+00:00,3038.0,8786.0
1A,06,2024-08-01 08:33:00+00:00,6569.0,12579.0
1A,07,2024-08-01 08:33:00+00:00,,
1A,08,2024-08-01 08:33:00+00:00,,
1A,09,2024-08-01 08:33:00+00:00,,
1A,10,2024-08-01 08:33:00+00:00,3206.0,16660.0
1A,11,2024-08-01 08:33:00+00:00,1105.0,18284.0
1A,12,2024-08-01 08:33:00+00:00,,
1A,13,2024-08-01 08:33:00+00:00,4603.0,33512.0
1A,14,2024-08-01 08:33:00+00:00,,
1A,15,2024-08-01 08:33:00+00:00,,
1A,16,2024-08-01 08:33:00+00:00,1540.0,4156.0
1A,17,2024-08-01 08:33:00+00:00,16689.0,8042.0
1A,18,2024-08-01 08:33:00+00:00,,
1A,19,2024-08-01 08:33:00+00:00,2822.0,35462.0
1A,20,2024-08-01 08:33:00+00:00,3124.0,7479.0
1A,21,2024-08-01 08:33:00+00:00,1473.0,9187.0
1A,22,2024-08-01 08:33:00+00:00,4593.0,8335.0
1A,23,2024-08-01 08:33:00+00:00,2791.0,9997.0
1A,24,2024-08-01 08:33:00+00:00,,
1A,COMMON_BESS,2024-08-01 08:33:00+00:00,32155.0,26004.0
1A,COMMON_EV,2024-08-01 08:33:00+00:00,0.0,1647.0
1A,COMMON_SERVICES,2024-08-01 08:33:00+00:00,4011.0,0.0
1A,COMMON_SERVICES_DB1,2024-08-01 08:33:00+00:00,,
1A,COMMON_SERVICES_DB2,2024-08-01 08:33:00+00:00,,
1B,01,2024-08-01 08:33:00+00:00,5451.0,7224.0
1B,02,2024-08-01 08:33:00+00:00,3435.0,5453.0
1B,03,2024-08-01 08:33:00+00:00,1773.0,697.0
1B,04,2024-08-01 08:33:00+00:00,,
1B,05,2024-08-01 08:33:00+00:00,11505.0,10251.0
1B,06,2024-08-01 08:33:00+00:00,5473.0,5773.0
1B,07,2024-08-01 08:33:00+00:00,7113.0,7259.0
1B,08,2024-08-01 08:33:00+00:00,3646.0,3856.0
1B,09,2024-08-01 08:33:00+00:00,,
1B,10,2024-08-01 08:33:00+00:00,5912.0,15569.0
1B,11,2024-08-01 08:33:00+00:00,17224.0,8653.0
1B,12,2024-08-01 08:33:00+00:00,4735.0,15562.0
1B,13,2024-07-26 11:04:00+00:00,8885.0,15324.0
1B,14,2024-08-01 08:33:00+00:00,3078.0,1859.0
1B,15,2024-08-01 08:33:00+00:00,4466.0,6912.0
1B,16,2024-08-01 08:33:00+00:00,6397.0,7418.0
1B,17,2024-08-01 08:33:00+00:00,5115.0,13673.0
1B,18,2024-08-01 08:33:00+00:00,,
1B,19,2024-08-01 08:33:00+00:00,3339.0,7424.0
1B,20,2024-08-01 08:33:00+00:00,9323.0,31507.0
1B,21,2024-08-01 08:33:00+00:00,10866.0,29942.0
1B,COMMON_BESS,2024-08-01 08:33:00+00:00,36549.0,29919.0
1B,COMMON_EV,2024-08-01 08:33:00+00:00,2214.0,0.0
1B,COMMON_SERVICES,2024-08-01 08:33:00+00:00,5122.0,0.0
1B,COMMON_SERVICES_DB1,2024-08-01 08:33:00+00:00,,
1B,COMMON_SERVICES_DB2,2024-08-01 08:33:00+00:00,,
1C,01,2024-08-01 08:33:00+00:00,7284.0,28453.0
1C,02,2024-08-01 08:33:00+00:00,3312.0,11890.0
1C,03,2024-08-01 08:33:00+00:00,2639.0,13469.0
1C,04,2024-08-01 08:33:00+00:00,1997.0,8400.0
1C,05,2024-08-01 08:33:00+00:00,4891.0,28576.0
1C,06,2024-08-01 08:33:00+00:00,4375.0,9628.0
1C,07,2024-08-01 08:33:00+00:00,,
1C,08,2024-08-01 08:33:00+00:00,10889.0,35820.0
1C,09,2024-08-01 08:33:00+00:00,,
1C,10,2024-08-01 08:33:00+00:00,6178.0,7018.0
1C,11,2024-08-01 08:33:00+00:00,,
1C,12,2024-08-01 08:33:00+00:00,639.89,190.72
1C,13,2024-08-01 08:33:00+00:00,,
1C,14,2024-08-01 08:33:00+00:00,11680.0,6451.0
1C,15,2024-08-01 08:33:00+00:00,5979.0,11633.0
1C,16,2024-08-01 08:33:00+00:00,6259.0,16928.0
1C,17,2024-08-01 08:33:00+00:00,,
1C,18,2024-08-01 08:33:00+00:00,870.0,1.0
1C,19,2024-08-01 08:33:00+00:00,8670.0,18839.0
1C,COMMON_BESS,2024-08-01 08:33:00+00:00,24464.0,18997.0
1C,COMMON_EV,2024-08-01 08:33:00+00:00,,
1C,COMMON_SERVICES,2024-08-01 08:33:00+00:00,2818.0,0.0
1C,COMMON_SERVICES_DB1,2024-08-01 08:33:00+00:00,,
1C,COMMON_SERVICES_DB2,2024-08-01 08:33:00+00:00,,
2A,01,2024-08-01 08:33:00+00:00,,
2A,02,2024-08-01 08:33:00+00:00,3593.0,12131.0
2A,03,2024-08-01 08:33:00+00:00,,
2A,04,2024-08-01 08:33:00+00:00,,
2A,05,2024-08-01 08:33:00+00:00,5326.0,2162.0
2A,06,2024-08-01 08:33:00+00:00,,
2A,07,2024-08-01 08:33:00+00:00,,
2A,08,2024-08-01 08:33:00+00:00,,
2A,09,2024-08-01 08:33:00+00:00,,
2A,10,2024-08-01 08:33:00+00:00,,
2A,11,2024-08-01 08:33:00+00:00,,
2A,12,2024-08-01 08:33:00+00:00,6247.0,6599.0
2A,13,2024-08-01 08:33:00+00:00,2744.0,7.0
2A,14,2024-08-01 08:33:00+00:00,1956.0,1.0
2A,15,2024-08-01 08:33:00+00:00,745.0,1547.0
2A,16,2024-08-01 08:33:00+00:00,,
2A,17,2024-08-01 08:33:00+00:00,1924.0,0.0
2A,18,2024-08-01 08:33:00+00:00,1838.0,0.0
2A,19,2024-08-01 08:33:00+00:00,,
2A,20,2024-08-01 08:33:00+00:00,,
2A,21,2024-08-01 08:33:00+00:00,,
2A,22,2024-08-01 08:33:00+00:00,,
2A,23,2024-08-01 08:33:00+00:00,,
2A,COMMON_BESS,2024-08-01 08:33:00+00:00,,
2A,COMMON_EV,2024-08-01 08:33:00+00:00,,
2A,COMMON_SERVICES,2024-08-01 08:33:00+00:00,,
2A,COMMON_SERVICES_DB1,2024-08-01 08:33:00+00:00,,
2A,COMMON_SERVICES_DB2,2024-08-01 08:33:00+00:00,,
2B,01,2024-08-01 08:33:00+00:00,,
2B,02,2024-08-01 08:33:00+00:00,2537.0,1688.0
2B,03,2024-08-01 08:33:00+00:00,2282.0,3265.0
