Cluster,Point,Reading Time,Import,Export,,
1A,01,2025-03-31 23:59:00+00:00,,,,
1A,02,2025-03-31 23:59:00+00:00,,,,
1A,03,2025-03-31 23:59:00+00:00,9141,0,,
1A,04,2025-03-31 23:59:00+00:00,5037,11476,,
1A,05,2025-03-31 23:59:00+00:00,3743,15571,,
1A,06,2025-03-31 23:59:00+00:00,9246,22324,,
1A,07,2025-03-31 23:59:00+00:00,,,,
1A,08,2025-03-31 23:59:00+00:00,3589,5027,,
1A,09,2025-03-31 23:59:00+00:00,,,,
1A,10,2025-03-31 23:59:00+00:00,4514,22009,,
1A,11,2025-03-31 23:59:00+00:00,1203,25470,,
1A,12,2025-03-31 23:59:00+00:00,,,,
1A,13,2025-03-31 23:59:00+00:00,5504,46143,,
1A,14,2025-03-31 23:59:00+00:00,667,3999,,
1A,15,2025-03-31 23:59:00+00:00,,,,
1A,16,2025-03-31 23:59:00+00:00,3048,10186,,
1A,17,2025-03-31 23:59:00+00:00,22723,14923,,
1A,18,2025-03-31 23:59:00+00:00,,,,
1A,19,2025-03-31 23:59:00+00:00,3415,49180,,
1A,20,2025-03-31 23:59:00+00:00,3852,14162,,
1A,21,2025-03-31 23:59:00+00:00,1774,16096,,
1A,22,2025-03-31 23:59:00+00:00,5246,14832,,
1A,23,2025-03-31 23:59:00+00:00,3312,16609,,
1A,24,2025-03-31 23:59:00+00:00,,,,
1A,COMMON_BESS,2025-03-31 23:59:00+00:00,73298,59831,,
1A,COMMON_EV,2025-03-31 23:59:00+00:00,0,7172,,
1A,COMMON_SERVICES,2025-03-31 23:59:00+00:00,5527,0,,
1A,COMMON_SERVICES_DB1,2025-03-31 23:59:00+00:00,,,,
1A,COMMON_SERVICES_DB2,2025-03-31 23:59:00+00:00,,,,
1B,01,2025-03-31 23:59:00+00:00,6361,12488,,
1B,02,2025-03-31 23:59:00+00:00,4403,14779,,
1B,03,2025-03-31 23:59:00+00:00,2809,5973,,
1B,04,2025-03-31 23:59:00+00:00,330,6615,,
1B,05,2025-03-31 23:59:00+00:00,12840,18600,,
1B,06,2025-03-31 23:59:00+00:00,7527,14615,,
1B,07,2025-03-31 23:59:00+00:00,8960,12093,,
1B,08,2025-03-31 23:59:00+00:00,5114,11149,,
1B,09,2025-03-31 23:59:00+00:00,,,,
1B,10,2025-03-31 23:59:00+00:00,7203,20554,,
1B,11,2025-03-31 23:59:00+00:00,20514,15620,,
1B,12,2025-03-31 23:59:00+00:00,5560,26958,,
1B,13,2025-03-31 23:59:00+00:00,11518,25704,,
1B,14,2025-03-31 23:59:00+00:00,5473,12390,,
1B,15,2025-03-31 23:59:00+00:00,5128,12299,,
1B,16,2025-03-31 23:59:00+00:00,7636,12675,,
1B,17,2025-03-31 23:59:00+00:00,5629,18878,,
1B,18,2025-03-31 23:59:00+00:00,8574,1345,,
1B,19,2025-03-31 23:59:00+00:00,3797,12573,,
1B,20,2025-03-31 23:59:00+00:00,11032,42471,,
1B,21,2025-03-31 23:59:00+00:00,13391,40534,,
1B,COMMON_BESS,2025-03-31 23:59:00+00:00,78445,64245,,
1B,COMMON_EV,2025-03-31 23:59:00+00:00,0,5054,,
1B,COMMON_SERVICES,2025-03-31 23:59:00+00:00,8705,0,,
1B,COMMON_SERVICES_DB1,2025-03-31 23:59:00+00:00,,,,
1B,COMMON_SERVICES_DB2,2025-03-31 23:59:00+00:00,,,,
1C,01,2025-03-31 23:59:00+00:00,8747,37477,,
1C,02,2025-03-31 23:59:00+00:00,4028,17462,,
1C,03,2025-03-31 23:59:00+00:00,3513,22749,,
1C,04,2025-03-30 02:48:00+00:00,3033,13492,,
1C,05,2025-03-31 23:59:00+00:00,6998,38690,,
1C,06,2025-03-31 23:59:00+00:00,5889,20723,,
1C,07,2025-03-31 23:59:00+00:00,,,,
1C,08,2025-03-31 23:59:00+00:00,13279,46064,,
1C,09,2025-03-31 23:59:00+00:00,,,,
1C,10,2025-03-31 23:59:00+00:00,6989,12402,,
1C,11,2025-03-31 23:59:00+00:00,,,,
1C,12,2025-03-31 23:59:00+00:00,1900.16,5683.79,,
1C,13,2025-03-31 23:59:00+00:00,6221,12061,,
1C,14,2025-03-31 23:59:00+00:00,13164,11592,,
1C,15,2025-03-31 23:59:00+00:00,7561,20916,,
1C,16,2025-03-31 23:59:00+00:00,7763,29752,,
1C,17,2025-03-31 23:59:00+00:00,,,,
1C,18,2025-03-31 23:59:00+00:00,6007,7545,,
1C,19,2025-03-31 23:59:00+00:00,10951,29966,,
1C,COMMON_BESS,2025-03-31 23:59:00+00:00,50626,40865,,
1C,COMMON_EV,2025-03-31 23:59:00+00:00,,,,
1C,COMMON_SERVICES,2025-03-31 23:59:00+00:00,4295,0,,
1C,COMMON_SERVICES_DB1,2025-03-31 23:59:00+00:00,,,,
1C,COMMON_SERVICES_DB2,2025-03-31 23:59:00+00:00,,,,
2A,01,2025-03-31 23:59:00+00:00,42,,,
2A,02,2025-03-31 23:59:00+00:00,4655,23084,,
2A,03,2025-03-31 23:59:00+00:00,,,,
2A,04,2025-03-31 23:59:00+00:00,,,,
2A,05,2025-03-31 23:59:00+00:00,7728,12017,,
2A,06,2025-03-31 23:59:00+00:00,,,,
2A,07,2025-03-31 23:59:00+00:00,0,,,
2A,08,2025-03-31 23:59:00+00:00,,,,
2A,09,2025-03-31 23:59:00+00:00,21306,8616,,
2A,10,2025-03-31 23:59:00+00:00,,,,
2A,11,2025-03-31 23:59:00+00:00,,,,
2A,12,2025-03-31 23:59:00+00:00,8807,19526,,
2A,13,2025-03-31 23:59:00+00:00,3997,7752,,
2A,14,2025-03-31 23:59:00+00:00,2927,6631,,
2A,15,2025-03-31 23:59:00+00:00,1885,7940,,
2A,16,2025-03-31 23:59:00+00:00,,,,
2A,17,2025-03-31 23:59:00+00:00,2713,6184,,
2A,18,2025-03-31 23:59:00+00:00,2527,3517,,
2A,19,2025-03-31 23:59:00+00:00,4004,,,
2A,20,2025-03-31 23:59:00+00:00,,,,
2A,21,2025-03-31 23:59:00+00:00,6994,,,
2A,22,2025-03-31 23:59:00+00:00,,,,
2A,23,2025-03-31 23:59:00+00:00,5638,,,
2A,COMMON_BESS,2025-03-31 23:59:00+00:00,17768.15,14950.25,,
2A,COMMON_EV,2025-03-31 23:59:00+00:00,,,,
2A,COMMON_SERVICES,2025-03-31 23:59:00+00:00,7388.6,0,,
