Start Time,Stop Time,Location,Address,Charge Station,Connector,Driver Postcode,Id Tag,Charging Time,Idle Time,Usage (kWh),CO2 Abatement (gCO2),Revenue,Cost,Session ID,Payment Method,Benefit Type,Benefit Name
31 Mar 2025 14:59,31 Mar 2025 15:33,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port A,6008,"",00:33:00,00:00:00,37.75,12037.435,13.59,7.17,a9b6141e-1d06-4131-8ee4-23d33488311b,"Chargefox (app,rfid)",Free,BMW
29 Mar 2025 15:10,29 Mar 2025 16:15,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port B,6280,"",01:04:00,01:13:43,51.64,16466.775,18.59,9.81,70a4569d-da0f-4919-9d1c-5e9db5b3e82b,"Chargefox (app,rfid)","",""
27 Mar 2025 08:23,27 Mar 2025 09:00,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port A,6286,"",00:37:00,00:00:11,35.15,11208.388,12.65,6.68,6f8737f9-e91c-426a-b84f-f4414f3dbcc5,"Chargefox (app,rfid)","",""
25 Mar 2025 12:20,25 Mar 2025 12:55,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port B,6286,"",00:34:00,00:00:00,27.2,8673.42,9.79,5.17,07904818-9236-45d1-99e3-752e9af954a6,"Chargefox (app,rfid)","",""
23 Mar 2025 17:05,23 Mar 2025 17:48,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port B,6286,"",00:43:00,00:00:00,44.23,14102.079,19.90,8.40,10f2a49f-2a0f-4873-9835-fce7a750cf62,"Chargefox (app,rfid)","",""
20 Mar 2025 09:57,20 Mar 2025 10:48,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port B,6280,"",00:51:00,00:25:41,44.2,14092.832,15.91,8.40,d667bea9-1d5e-4a6a-94c5-3e3ec6a87e95,"Chargefox (app,rfid)","",""
19 Mar 2025 12:03,19 Mar 2025 12:50,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port A,6286,"",00:47:00,00:29:31,33.26,10605.736,11.97,6.32,b632c6a3-a984-4a38-952a-a82d443d9907,"Chargefox (app,rfid)","",""
19 Mar 2025 11:06,19 Mar 2025 11:56,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port B,6286,"",00:50:00,00:00:00,46.19,14728.328,16.63,8.78,1637d0f8-51b9-4902-8c40-a27e7b94fa5f,"Chargefox (app,rfid)","",""
17 Mar 2025 15:54,17 Mar 2025 16:35,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port B,6286,"",00:41:00,00:09:32,33.79,10775.052,12.17,6.42,21360346-002a-478e-9289-b9c947ea7bc7,"Chargefox (app,rfid)","",""
16 Mar 2025 11:06,16 Mar 2025 11:49,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port B,6286,"",00:43:00,00:00:00,41.41,13204.477,14.91,7.87,70aeffb2-2deb-4762-b3a7-ffede6dbbed5,"Chargefox (app,rfid)","",""
