,,,1st Jan 2025,,1st Mar 2025,,1st April,,1st May 2025,,1st July 2025,,1st Sep 2025,,1st Nov 2025,,1st Jan 2026,,,
Lot #,Cluster,Meter Number,Import,Export,Import,Export,Import,Export,Import,Export,Import,Export,Import,Export,Import,Export,Import,Export,,
1,2B,50003379,,,,,,,,,,,,,,,,,,
2,2B,50002906,,,,,,,,,,,,,,,,,,
3,2B,50002924,,,,,,,,,,,,,,,,,,
4,2B,50002908,,,,,,,,,,,,,,,,,,
5,2B,,,,,,,,,,,,,,,,,,,
6,2B,,,,"3,760.00","8,999.00",,,,,,,,,,,,,,
7,2B,,,,,,,,,,,,,,,,,,,
8,2B,,,,,,,,,,,,,,,,,,,
9,2B,50002960,,,,,,,,,,,,,,,,,,
10,2B,,,,,,,,,,,,,,,,,,,
11,2B,,,,,,,,,,,,,,,,,,,
12,2B,,,,"2,893.00",92.39,,,,,,,,,,,,,,
13,2B,50002961,,,338.00,"1,087.00",,,,,,,,,,,,,,
14,2B,,,,,,,,,,,,,,,,,,,
15,2B,,,,,,,,,,,,,,,,,,,
16,2B,,,,,,,,,,,,,,,,,,,
17,2B,50002929,,,,,,,,,,,,,,,,,,
18,2B,,,,,,,,,,,,,,,,,,,
19,2B,,,,74.00,,96.00,0.00,,,,,,,,,,,,
20,2B,,,,216.00,15.00,226.00,15.00,,,,,,,,,,,,
21,2B,50002916,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,
add more if need ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
…,,,,,,,,,,,,,,,,,,,,
BESS,,Battery (BESS),,,,,,,,,,,,,,,,,,
EV,,EV Charger (EVC),,,,,,,,,,,,,,,,,,
CS,,Common Service,,,,,,,,,,,,,,,,,,
DB1,,Common Service DB1,,,,,,,,,,,,,,,,,,
DB2,,Common Service DB1,,,,,,,,,,,,,,,,,,
