Start Time,Stop Time,Location,Address,Charge Station,Connector,Driver Postcode,Id Tag,Charging Time,Idle Time,Usage (kWh),CO2 Abatement (gCO2),Revenue,Cost,Session ID,Payment Method,Benefit Type,Benefit Name
2 Mar 2025 09:59,2 Mar 2025 10:33,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port A,6286,"",00:33:00,00:11:00,28.73,9161.6,10.34,5.46,adbac31d-3aaf-48da-97b0-d2ba3746cd4b,"Chargefox (app,rfid)","",""
2 Mar 2025 09:58,2 Mar 2025 09:58,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port A,6286,"",00:00:00,00:00:00,0.0,0.0,0.00,0.00,d0368a74-6ff2-4fcf-9da6-99b7600ee04c,"Chargefox (app,rfid)","",""
28 Feb 2025 22:21,28 Feb 2025 22:35,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port A,6286,"",00:13:00,00:00:00,15.34,4889.779,6.90,2.91,4e11c558-61b5-4cd3-882e-6e3fa2adbf32,"Chargefox (app,rfid)",Free,WESTPAC
28 Feb 2025 16:08,28 Feb 2025 17:03,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port B,6280,"",00:54:00,00:01:00,47.37,15105.544,17.07,9.00,6711c21b-7d19-4e22-b180-834d52dcdc0c,"Chargefox (app,rfid)","",""
26 Feb 2025 10:37,26 Feb 2025 11:33,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port B,6280,"",00:55:00,00:00:00,48.19,15367.013,17.35,9.16,4f7076c3-59ba-4854-8b40-df98f0748eb7,"Chargefox (app,rfid)","",""
25 Feb 2025 08:22,25 Feb 2025 08:34,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port B,6525,"",00:11:00,00:00:00,14.01,4465.69,5.04,2.66,31433901-8577-4b7c-a66a-572cef2dc206,"Chargefox (app,rfid)","",""
24 Feb 2025 10:00,24 Feb 2025 10:23,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port B,6525,"",00:22:00,00:00:00,27.83,8872.71,10.02,5.29,9670ed03-44c7-46f7-b969-676d54c9de3c,"Chargefox (app,rfid)","",""
24 Feb 2025 08:44,24 Feb 2025 09:39,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port A,6008,"",00:55:00,00:00:00,51.13,16302.879,18.41,9.71,136aa141-e83f-4c62-8d39-887246de0171,"Chargefox (app,rfid)",Free,BMW
22 Feb 2025 09:42,22 Feb 2025 10:02,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port B,6525,"",00:20:00,00:01:00,24.41,7783.151,8.79,4.64,1094e727-0734-4ea2-b218-4c59ab8ad7bc,"Chargefox (app,rfid)","",""
20 Feb 2025 15:22,20 Feb 2025 15:40,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port A,6525,"",00:17:00,00:00:00,21.7,6918.392,7.81,4.12,7612c25b-563f-4687-88dd-928d3706907d,"Chargefox (app,rfid)","",""
17 Feb 2025 07:45,17 Feb 2025 09:08,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port A,6008,"",01:22:00,00:00:00,71.9,22926.64,27.36,13.66,0eb9bed1-dfc9-4bae-b96d-947e380032d0,"Chargefox (app,rfid)",Free,BMW
12 Feb 2025 18:15,12 Feb 2025 19:10,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port A,6008,"",00:55:00,00:00:00,60.83,19397.773,27.38,11.56,d8581002-dd32-4cd8-8fcc-6a01be312e78,"Chargefox (app,rfid)",Free,BMW
12 Feb 2025 13:40,12 Feb 2025 14:21,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port A,6286,"",00:40:00,00:02:00,36.08,11503.657,12.99,6.85,7fa25cf6-912f-4b1d-91a0-be9e9d93a244,"Chargefox (app,rfid)","",""
12 Feb 2025 11:56,12 Feb 2025 12:26,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port B,6525,"",00:29:00,00:10:00,35.05,11177.459,12.62,6.66,c3e1261d-f506-4b8c-9f95-033b51b4c44f,"Chargefox (app,rfid)","",""
11 Feb 2025 18:27,11 Feb 2025 19:03,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port A,6286,"",00:35:00,00:00:00,35.48,11312.019,15.96,6.74,edb33565-3e82-4f34-9f8a-c3437879ea73,"Chargefox (app,rfid)",Free,WESTPAC
11 Feb 2025 16:12,11 Feb 2025 16:48,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port B,6525,"",00:36:00,00:05:00,44.26,14114.196,15.94,8.41,5d963cc6-4789-47af-831b-421ac4063abc,"Chargefox (app,rfid)","",""
10 Feb 2025 15:11,10 Feb 2025 15:26,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port B,6525,"",00:15:00,00:04:00,18.18,5796.948,6.54,3.45,00c4658b-8a6e-4365-ac63-c45171d1f39f,"Chargefox (app,rfid)","",""
9 Feb 2025 13:18,9 Feb 2025 13:53,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port A,6008,"",00:35:00,00:00:00,27.08,8636.113,9.75,5.15,fe318954-c95e-4786-90e4-595a5e8272b4,"Chargefox (app,rfid)",Free,BMW
9 Feb 2025 13:17,9 Feb 2025 13:17,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port A,6008,"",00:00:00,00:00:00,0.0,0.0,0.00,0.00,00ba6435-6e9e-46d5-a30a-667f842a0082,"Chargefox (app,rfid)","",""
3 Feb 2025 15:08,3 Feb 2025 15:47,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port A,6008,"",00:39:00,00:00:00,45.52,14514.689,16.39,8.65,713fcb65-6096-41b2-857e-217dcdd418fc,"Chargefox (app,rfid)",Free,BMW
3 Feb 2025 15:07,3 Feb 2025 15:07,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port A,6008,"",00:00:00,00:00:00,0.0,0.0,0.00,0.00,53c5a268-e629-4541-a1c4-2a5b902206c0,"Chargefox (app,rfid)","",""
2 Feb 2025 14:17,2 Feb 2025 15:00,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port A,6286,"",00:42:00,00:17:00,45.39,14474.194,16.34,8.62,4d3829a5-0a28-4a67-a616-6ef4d51dc6c7,"Chargefox (app,rfid)","",""
29 Jan 2025 16:39,29 Jan 2025 16:55,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port B,,"",00:15:00,00:00:00,15.08,4808.15,5.43,2.87,81a5072c-87e9-4e98-a554-034be00ee8cb,"Chargefox (app,rfid)",Fleet,""
27 Jan 2025 18:20,27 Jan 2025 19:18,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port A,6008,"",00:57:00,00:00:00,49.35,15736.576,22.21,9.38,e0b8986d-523b-4b7a-b33b-6b9209f61d67,"Chargefox (app,rfid)",Free,BMW
27 Jan 2025 10:20,27 Jan 2025 10:58,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port A,6009,"",00:37:00,00:00:00,34.41,10970.516,12.39,6.54,cf41df1a-1a72-4753-b5e8-c9068ca6df53,"Chargefox (app,rfid)","",""
24 Jan 2025 18:38,24 Jan 2025 18:59,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port A,6286,"",00:21:00,00:00:00,24.65,7859.998,11.09,4.68,19d3d989-f51c-40ef-b81c-6829f5866a7a,"Chargefox (app,rfid)",Free,WESTPAC
20 Jan 2025 12:24,20 Jan 2025 12:47,Witchcliffe Eco Village Cluster 1C - Kulbardi Way,"41 Kulbardi Way, Witchcliffe, WA, 6286",Station 5513,Port B,2620,"",00:22:00,00:00:00,23.49,7490.115,8.46,4.46,e4703e0f-24c5-481d-adb8-e0675fc3a212,"Chargefox (app,rfid)","",""
