Cluster,Year,Month,Consumption_kWh,Export_kWh,Amanda_consumption_incl_GST,Amanda_export_buyback_incl_GST,Daily_Supply_incl_GST,Other_Fees_incl_GST,Total_incl_GST
1A,2025,01,33.93,11281.06,10.16,-434.32,170.5,15.54,-238.12
1A,2025,02,9.73,10654.83,2.92,-410.21,154.0,12.85,-240.45
1B,2025,01,12.07,17535.52,3.62,-675.11,170.5,18.04,-482.96
1B,2025,02,13.33,13942.64,3.99,-536.79,154.0,16.57,-362.23
1C,2025,01,44.48,13074.94,13.32,-503.38,170.5,22.22,-297.34
1C,2025,02,46.06,12380.74,13.78,-476.66,154.0,19.29,-289.59
2A,2025,01,68.36,9864.97,21.46,-379.8,178.78,0.0,-179.55
2A,2025,02,60.15,9289.63,18.89,-357.64,161.48,0.0,-177.28
2B,2025,01,25.59,13715.2,8.04,-528.04,178.78,0.0,-341.22
2B,2025,02,20.76,10080.49,6.52,-388.1,161.48,-0.0,-220.1
3A,2025,01,397.4,5237.2,124.77,-201.63,178.78,0.0,101.93
3A,2025,02,1319.47,7643.82,414.27,-294.28,161.48,-0.0,281.47
3B,2025,01,79.58,7581.04,24.99,-291.86,178.78,0.0,-88.09
3B,2025,02,60.76,8019.21,19.07,-308.75,161.48,-0.0,-128.19
3C,2025,01,317.0,4859.91,99.52,-187.11,178.78,0.0,91.19
3C,2025,02,235.52,4016.0,73.95,-154.62,161.48,-0.0,80.82
