Name,Supplier,Fuel,Account,Bill Date,Due Date,Consumer,NMI,Site Address,From Date,To Date,Charge Group,Charge Description,Unit Of Measure,Charge Rate,DLF,TLF,Uplifted Rate,Quantity,Net Charge ($),GST ($),Total Charge ($),Information Only
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018017,18/01/2024,19/02/2024,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/11/2023,30/11/2023,Environmental,STC Charge,KWH,0.006516,1.0401,1.0075,0.006828,132745,906.4,90.64,997.04,N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018017,18/01/2024,19/02/2024,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/11/2023,30/11/2023,Environmental,LGC Charge,KWH,0.011044,1.0401,1.0075,0.011573,132745,"1,536.26",153.63,"1,689.89",N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018017,18/01/2024,19/02/2024,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/11/2023,30/11/2023,Market,Ancillary Charge,KWH,0.0128,1.0401,1.0075,0.013413,132745,"1,780.53",178.05,"1,958.58",N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018017,18/01/2024,19/02/2024,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/11/2023,30/11/2023,Market,Market Fee,KWH,0.00181,1.0401,1.0075,0.001897,132745,251.78,25.18,276.96,N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018017,18/01/2024,19/02/2024,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/11/2023,30/11/2023,Energy,Off Peak Energy,KWH,0.0876,1.0401,1.0075,0.091796,61458,"5,641.62",564.16,"6,205.78",N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018017,18/01/2024,19/02/2024,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/11/2023,30/11/2023,Energy,Peak Energy,KWH,0.0935,1.0401,1.0075,0.097979,71287,"6,984.64",698.46,"7,683.10",N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018017,18/01/2024,19/02/2024,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/11/2023,30/11/2023,Other,Metering Service Charge M13,DAYS,0.15119,,,0.15119,30,4.54,0.45,4.99,N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018017,18/01/2024,19/02/2024,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/11/2023,30/11/2023,Other,Metering Service Charge M13,DAYS,0.15119,,,0.15119,1,0.15,0.02,0.17,N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018017,18/01/2024,19/02/2024,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/11/2023,30/11/2023,Network Transmission,Fixed Demand Charge (300 to 1000),DAYS,109.2302,,,109.2302,30,"3,276.91",327.69,"3,604.60",N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018017,18/01/2024,19/02/2024,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/11/2023,30/11/2023,Network Transmission,Fixed Demand Charge (1000 to 1500),DAYS,302.93593,,,302.93593,0,0,0,0,N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018017,18/01/2024,19/02/2024,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/11/2023,30/11/2023,Network Transmission,Variable Demand Charge (0 to 300),KVA,0.3641,,,0.3641,0,0,0,0,N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018017,18/01/2024,19/02/2024,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/11/2023,30/11/2023,Network Transmission,Variable Demand Charge (300 to 1000),KVA,0.27673,,,0.27673,4477,"1,238.92",123.89,"1,362.81",N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018017,18/01/2024,19/02/2024,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/11/2023,30/11/2023,Network Transmission,Variable Demand Charge (1000 to 1500),KVA,0.15148,,,0.15148,0,0,0,0,N
St John of God Health Care Inc,ALINTA ENERGY,ELEC,80018017,18/01/2024,19/02/2024,89010375,80010042134,"151 CATHEDRAL AVE, GERALDTON WA",1/11/2023,30/11/2023,Network Distribution,Fixed Demand Charge (0 to 300),DAYS,11.23417,,,11.23417,0,0,0,0,N
