timeStamp,meterUid,import,export,energyUnit,display_name,interval,isEstimate
2025-04-03T00:20:00+08:00,142812,135287438,35824864,Wh,Grid meter,20.0,False
2025-04-03T00:40:00+08:00,142812,135288341,35824864,Wh,Grid meter,20.0,False
2025-04-03T01:00:00+08:00,142812,135289275,35824864,Wh,Grid meter,20.0,False
2025-04-03T01:20:00+08:00,142812,135290082,35824864,Wh,Grid meter,20.0,False
2025-04-03T01:40:00+08:00,142812,135290966,35824864,Wh,Grid meter,20.0,False
2025-04-03T02:00:00+08:00,142812,135292842,35824864,Wh,Grid meter,20.0,False
2025-04-03T02:20:00+08:00,142812,135293731,35824864,Wh,Grid meter,20.0,False
2025-04-03T02:40:00+08:00,142812,135294875,35824864,Wh,Grid meter,20.0,False
2025-04-03T03:00:00+08:00,142812,135295601,35824864,Wh,Grid meter,20.0,False
2025-04-03T03:20:00+08:00,142812,135296312,35824864,Wh,Grid meter,20.0,False
2025-04-03T03:40:00+08:00,142812,135297123,35824864,Wh,Grid meter,20.0,False
2025-04-03T04:00:00+08:00,142812,135297786,35824864,Wh,Grid meter,20.0,False
2025-04-03T04:20:00+08:00,142812,135298782,35824864,Wh,Grid meter,20.0,False
2025-04-03T04:40:00+08:00,142812,135300540,35824864,Wh,Grid meter,20.0,False
2025-04-03T05:00:00+08:00,142812,135302534,35824864,Wh,Grid meter,20.0,False
2025-04-03T05:20:00+08:00,142812,135303843,35824864,Wh,Grid meter,20.0,False
2025-04-03T05:40:00+08:00,142812,135304547,35824864,Wh,Grid meter,20.0,False
2025-04-03T06:00:00+08:00,142812,135305233,35824864,Wh,Grid meter,20.0,False
2025-04-03T06:20:00+08:00,142812,135306143,35824864,Wh,Grid meter,20.0,False
2025-04-03T06:40:00+08:00,142812,135307875,35824864,Wh,Grid meter,20.0,False
2025-04-03T07:00:00+08:00,142812,135309042,35824864,Wh,Grid meter,20.0,False
2025-04-03T07:20:00+08:00,142812,135309481,35824864,Wh,Grid meter,20.0,False
2025-04-03T07:40:00+08:00,142812,135309763,35824870,Wh,Grid meter,20.0,False
2025-04-03T08:00:00+08:00,142812,135310113,35824895,Wh,Grid meter,20.0,False
2025-04-03T08:20:00+08:00,142812,135310565,35824993,Wh,Grid meter,20.0,False
2025-04-03T08:40:00+08:00,142812,135310633,35825141,Wh,Grid meter,20.0,False
2025-04-03T09:00:00+08:00,142812,135310718,35825424,Wh,Grid meter,20.0,False
2025-04-03T09:20:00+08:00,142812,135310808,35826052,Wh,Grid meter,20.0,False
2025-04-03T09:40:00+08:00,142812,135310847,35826622,Wh,Grid meter,20.0,False
2025-04-03T10:00:00+08:00,142812,135310947,35827168,Wh,Grid meter,20.0,False
2025-04-03T10:20:00+08:00,142812,135310983,35827624,Wh,Grid meter,20.0,False
2025-04-03T10:40:00+08:00,142812,135310984,35828466,Wh,Grid meter,20.0,False
2025-04-03T11:00:00+08:00,142812,135311663,35829048,Wh,Grid meter,20.0,False
2025-04-03T11:20:00+08:00,142812,135312940,35829305,Wh,Grid meter,20.0,False
2025-04-03T11:40:00+08:00,142812,135313324,35829432,Wh,Grid meter,20.0,False
2025-04-03T12:00:00+08:00,142812,135313577,35829524,Wh,Grid meter,20.0,False
2025-04-03T12:20:00+08:00,142812,135314268,35829608,Wh,Grid meter,20.0,False
2025-04-03T12:40:00+08:00,142812,135314466,35829712,Wh,Grid meter,20.0,False
2025-04-03T13:00:00+08:00,142812,135315076,35829716,Wh,Grid meter,20.0,False
2025-04-03T13:20:00+08:00,142812,135315891,35829792,Wh,Grid meter,20.0,False
2025-04-03T13:40:00+08:00,142812,135316106,35829939,Wh,Grid meter,20.0,False
2025-04-03T14:00:00+08:00,142812,135316569,35830223,Wh,Grid meter,20.0,False
2025-04-03T14:20:00+08:00,142812,135318493,35830223,Wh,Grid meter,20.0,False
2025-04-03T14:40:00+08:00,142812,135319265,35830446,Wh,Grid meter,20.0,False
2025-04-03T15:00:00+08:00,142812,135319761,35830503,Wh,Grid meter,20.0,False
2025-04-03T15:20:00+08:00,142812,135319858,35830639,Wh,Grid meter,20.0,False
2025-04-03T15:40:00+08:00,142812,135319944,35830814,Wh,Grid meter,20.0,False
2025-04-03T16:00:00+08:00,142812,135320062,35830839,Wh,Grid meter,20.0,False
2025-04-03T16:20:00+08:00,142812,135320405,35830890,Wh,Grid meter,20.0,False
2025-04-03T16:40:00+08:00,142812,135322081,35830890,Wh,Grid meter,20.0,False
2025-04-03T17:00:00+08:00,142812,135323601,35830890,Wh,Grid meter,20.0,False
2025-04-03T17:20:00+08:00,142812,135326259,35830890,Wh,Grid meter,20.0,False
2025-04-03T17:40:00+08:00,142812,135332897,35830890,Wh,Grid meter,20.0,False
2025-04-03T18:00:00+08:00,142812,135336875,35830890,Wh,Grid meter,20.0,False
2025-04-03T18:20:00+08:00,142812,135341897,35830890,Wh,Grid meter,20.0,False
2025-04-03T18:40:00+08:00,142812,135345720,35830890,Wh,Grid meter,20.0,False
2025-04-03T19:00:00+08:00,142812,135349700,35830890,Wh,Grid meter,20.0,False
2025-04-03T19:20:00+08:00,142812,135353498,35830890,Wh,Grid meter,20.0,False
2025-04-03T19:40:00+08:00,142812,135356511,35830890,Wh,Grid meter,20.0,False
2025-04-03T20:00:00+08:00,142812,135358330,35830890,Wh,Grid meter,20.0,False
