timeStamp,meterUid,import,export,energyUnit,display_name,interval,isEstimate
2025-04-21T00:20:00+08:00,142812,136694001,35954882,Wh,Grid meter,20.0,False
2025-04-21T00:40:00+08:00,142812,136694818,35954882,Wh,Grid meter,20.0,False
2025-04-21T01:00:00+08:00,142812,136695569,35954882,Wh,Grid meter,20.0,False
2025-04-21T01:20:00+08:00,142812,136696276,35954882,Wh,Grid meter,20.0,False
2025-04-21T01:40:00+08:00,142812,136697031,35954882,Wh,Grid meter,20.0,False
2025-04-21T02:00:00+08:00,142812,136697728,35954882,Wh,Grid meter,20.0,False
2025-04-21T02:20:00+08:00,142812,136698431,35954882,Wh,Grid meter,20.0,False
2025-04-21T02:40:00+08:00,142812,136699933,35954882,Wh,Grid meter,20.0,False
2025-04-21T03:00:00+08:00,142812,136701028,35954882,Wh,Grid meter,20.0,False
2025-04-21T03:20:00+08:00,142812,136701848,35954882,Wh,Grid meter,20.0,False
2025-04-21T03:40:00+08:00,142812,136702591,35954882,Wh,Grid meter,20.0,False
2025-04-21T04:00:00+08:00,142812,136703762,35954882,Wh,Grid meter,20.0,False
2025-04-21T04:20:00+08:00,142812,136704436,35954882,Wh,Grid meter,20.0,False
2025-04-21T04:40:00+08:00,142812,136705163,35954882,Wh,Grid meter,20.0,False
2025-04-21T05:00:00+08:00,142812,136706411,35954882,Wh,Grid meter,20.0,False
2025-04-21T05:20:00+08:00,142812,136707101,35954882,Wh,Grid meter,20.0,False
2025-04-21T05:40:00+08:00,142812,136707702,35954882,Wh,Grid meter,20.0,False
2025-04-21T06:00:00+08:00,142812,136708730,35954882,Wh,Grid meter,20.0,False
2025-04-21T06:20:00+08:00,142812,136709570,35954882,Wh,Grid meter,20.0,False
2025-04-21T06:40:00+08:00,142812,136710293,35954882,Wh,Grid meter,20.0,False
2025-04-21T07:00:00+08:00,142812,136711188,35954882,Wh,Grid meter,20.0,False
2025-04-21T07:20:00+08:00,142812,136711777,35954882,Wh,Grid meter,20.0,False
2025-04-21T07:40:00+08:00,142812,136712054,35954882,Wh,Grid meter,20.0,False
2025-04-21T08:00:00+08:00,142812,136712711,35954882,Wh,Grid meter,20.0,False
2025-04-21T08:20:00+08:00,142812,136713611,35954882,Wh,Grid meter,20.0,False
2025-04-21T08:40:00+08:00,142812,136715135,35954882,Wh,Grid meter,20.0,False
2025-04-21T09:00:00+08:00,142812,136716237,35954882,Wh,Grid meter,20.0,False
2025-04-21T09:20:00+08:00,142812,136716382,35955094,Wh,Grid meter,20.0,False
2025-04-21T09:40:00+08:00,142812,136716419,35955178,Wh,Grid meter,20.0,False
2025-04-21T10:00:00+08:00,142812,136716514,35955604,Wh,Grid meter,20.0,False
2025-04-21T10:20:00+08:00,142812,136716696,35956158,Wh,Grid meter,20.0,False
2025-04-21T10:40:00+08:00,142812,136717155,35956436,Wh,Grid meter,20.0,False
2025-04-21T11:00:00+08:00,142812,136717213,35957142,Wh,Grid meter,20.0,False
2025-04-21T11:20:00+08:00,142812,136717256,35958359,Wh,Grid meter,20.0,False
2025-04-21T11:40:00+08:00,142812,136717351,35958815,Wh,Grid meter,20.0,False
2025-04-21T12:00:00+08:00,142812,136717942,35959167,Wh,Grid meter,20.0,False
2025-04-21T12:20:00+08:00,142812,136717990,35959706,Wh,Grid meter,20.0,False
2025-04-21T12:40:00+08:00,142812,136718059,35960528,Wh,Grid meter,20.0,False
2025-04-21T13:00:00+08:00,142812,136718092,35960978,Wh,Grid meter,20.0,False
2025-04-21T13:20:00+08:00,142812,136718655,35961442,Wh,Grid meter,20.0,False
2025-04-21T13:40:00+08:00,142812,136719491,35961828,Wh,Grid meter,20.0,False
2025-04-21T14:00:00+08:00,142812,136719557,35962633,Wh,Grid meter,20.0,False
2025-04-21T14:20:00+08:00,142812,136720147,35962785,Wh,Grid meter,20.0,False
2025-04-21T14:40:00+08:00,142812,136720320,35963310,Wh,Grid meter,20.0,False
2025-04-21T15:00:00+08:00,142812,136720371,35963480,Wh,Grid meter,20.0,False
2025-04-21T15:20:00+08:00,142812,136720422,35963574,Wh,Grid meter,20.0,False
2025-04-21T15:40:00+08:00,142812,136720520,35963638,Wh,Grid meter,20.0,False
2025-04-21T16:00:00+08:00,142812,136720615,35963807,Wh,Grid meter,20.0,False
2025-04-21T16:20:00+08:00,142812,136720672,35963865,Wh,Grid meter,20.0,False
2025-04-21T16:40:00+08:00,142812,136720682,35963881,Wh,Grid meter,20.0,False
2025-04-21T17:00:00+08:00,142812,136720734,35963899,Wh,Grid meter,20.0,False
2025-04-21T17:20:00+08:00,142812,136721959,35963900,Wh,Grid meter,20.0,False
2025-04-21T17:40:00+08:00,142812,136723925,35963901,Wh,Grid meter,20.0,False
2025-04-21T18:00:00+08:00,142812,136724435,35963908,Wh,Grid meter,20.0,False
2025-04-21T18:20:00+08:00,142812,136725582,35963926,Wh,Grid meter,20.0,False
2025-04-21T18:40:00+08:00,142812,136726546,35963978,Wh,Grid meter,20.0,False
2025-04-21T19:00:00+08:00,142812,136727697,35963995,Wh,Grid meter,20.0,False
2025-04-21T19:20:00+08:00,142812,136729011,35963995,Wh,Grid meter,20.0,False
