Item ID,Name,Item Type,Item Code,Tax Name,Tax Amount (%),Price,Cost Price,Comment 
,Manual Lymphatic Drainage - Manual Lymphatic drainage - 120 mins,Service,,,,210,,Update Name to Match Appoint Types Concatenation
,Disability and pension health card holders - 15% off - Remedial Massage - 30 mins P&D,Service,,,,48.75,,Update Name to Match Appoint Types Concatenation
,Disability and pension health card holders - 15% off - Remedial Massage - 45 mins P&D,Service,,,,63.75,,Update Name to Match Appoint Types Concatenation
,Disability and pension health card holders - 15% off - Remedial Massage - 60 mins P&D,Service,,,,86.25,,Update Name to Match Appoint Types Concatenation
,Disability and pension health card holders - 15% off - Remedial massage - 90 mins P&D,Service,,,,123.75,,Update Name to Match Appoint Types Concatenation
,Disability and pension health card holders - 15% off - Remedial Massage - 120 Mins P&D,Service,,,,157.5,,Update Name to Match Appoint Types Concatenation
,Hot stone Massage - 45 minutes ,Service,,,,100,,Update Name to Match Appoint Types Concatenation
,Hot stone Massage - 90 minutes ,Service,,,,180,,Update Name to Match Appoint Types Concatenation
,Alternative Therapies - Reiki - 45 mins,Service,,,,85,,Update Name to Match Appoint Types Concatenation
,Massage - 90 minutes Swedish Massage,Service,SNR030M,,,65,,Update Name to Match Appoint Types Concatenation
,Massage and Facial Packages - 1 Hour massage and 30 minutes facial,Service,,,,175,,Update Name to Match Appoint Types Concatenation
,Massage and facial packages - 90 minute massage and 1 hour facial ,Service,,,,279,,Update Name to Match Appoint Types Concatenation
,Massage Packages - Package of 5 ,Service,,,,545,,Update Name to Match Appoint Types Concatenation
,Massage Packages - Package of 10,Service,,,,1035,,Update Name to Match Appoint Types Concatenation
,Massage Packages - Package of 15 ,Service,,,,1465,,Update Name to Match Appoint Types Concatenation
,Massage Packages - Package of 20,Service,,,,1840,,Update Name to Match Appoint Types Concatenation
,Remedial Massage 30min,Service,,,,65,,Update Name to Match Appoint Types Concatenation
,Remedial Massage 60min,Service,,,,115,,Update Name to Match Appoint Types Concatenation
,Remedial Massage 90min,Service,,,,165,,Update Name to Match Appoint Types Concatenation
,Remedial Massage 120min,Service,,,,210,,Update Name to Match Appoint Types Concatenation
,Dermalogica Skincare and Facials - Pro Dermaplaning - 60 minutes,Service,,,,160,,
,Beauty Services - Waxing for her - Waxing - Upper lip,Service,,,,11,,
,Beauty Services - Waxing for her - Waxing - Eyebrows,Service,,,,19,,
,Beauty Services - Waxing for her - Waxing - Chin,Service,,,,19,,
,Beauty Services - Waxing for her - Waxing - Side of face,Service,,,,25,,
,Beauty Services - Waxing for her - Waxing - Full Face,Service,,,,47,,
,Beauty Services - Waxing for her - Waxing - Under Arms,Service,,,,17,,
,Beauty Services - Waxing for her - Waxing - Half arm,Service,,,,26,,
,Beauty Services - Waxing for her - Waxing - Full Arm,Service,,,,33,,
,Beauty Services - Waxing for her - Waxing - Half Leg,Service,,,,27,,
,Beauty Services - Waxing for her - Waxing - Full Leg,Service,,,,45,,
,Beauty Services - Waxing for her - Waxing - Brazilian (30 mins),Service,,,,49,,
,Beauty Services - Waxing for her - Waxing - Brazilian (60 mins),Service,,,,65,,
,Beauty Services - Waxing for her - Waxing - G-string Bikini,Service,,,,34,,
,Beauty Services - Waxing for her - Waxing - Stomach,Service,,,,11,,
,Beauty Services - Waxing for him - Waxing for Men - Eyebrows,Service,,,,19,,
,Beauty Services - Waxing for him - Waxing for Men - Ears,Service,,,,15,,
,Beauty Services - Waxing for him - Waxing for Him - Nose,Service,,,,13,,
,Beauty Services - Waxing for him - Waxing for Him - Chest,Service,,,,46,,
,Beauty Services - Waxing for him - Waxing For Him - Upper Back and Shoulders,Service,,,,46,,
,Beauty Services - Waxing for him - Waxing For Him - Full Back (30 mins),Service,,,,55,,
,Beauty Services - Waxing for him - Waxing For Him - Full Back (45 mins),Service,,,,85,,
,Beauty Services - Waxing for him - Waxing for Him - Full Arm,Service,,,,44,,
,Beauty Services - Waxing for him - Waxing for Him - Full leg,Service,,,,54,,
,Beauty Services - Waxing for him - Waxing for Him - XXX Manzillian (30 min),Service,,,,68,,
,Beauty Services - Waxing for him - Waxing for Him - XXX Manzillian (60 min),Service,,,,85,,
,Beauty Services - Waxing for him - Waxing for Him - Buttocks,Service,,,,27,,
,Beauty Services - Waxing for him - Waxing for Him - Stomach,Service,,,,46,,
,Beauty Services  - Massage - Indian Head Massage (30 mins),Service,,,,80,,
