Date,Carbon Neutral Charge
1/03/2025 9:00 a.m.,2.486
1/03/2025 10:00 a.m.,2.862
1/03/2025 11:00 a.m.,2.787
1/03/2025 12:00 p.m.,2.787
1/03/2025 1:00 p.m.,2.674
1/03/2025 2:00 p.m.,2.712
1/03/2025 3:00 p.m.,2.636
1/03/2025 4:00 p.m.,2.335
1/03/2025 5:00 p.m.,2.297
1/03/2025 6:00 p.m.,2.373
1/03/2025 7:00 p.m.,2.41
1/03/2025 8:00 p.m.,2.41
1/03/2025 9:00 p.m.,2.448
1/03/2025 10:00 p.m.,2.486
1/03/2025 11:00 p.m.,2.448
2/03/2025 12:00 a.m.,2.486
2/03/2025 1:00 a.m.,2.9
2/03/2025 2:00 a.m.,2.034
2/03/2025 3:00 a.m.,2.071
2/03/2025 4:00 a.m.,2.486
2/03/2025 5:00 a.m.,2.486
2/03/2025 6:00 a.m.,2.9
2/03/2025 7:00 a.m.,2.938
2/03/2025 8:00 a.m.,2.9
2/03/2025 9:00 a.m.,2.487
2/03/2025 10:00 a.m.,3.24
2/03/2025 11:00 a.m.,2.788
2/03/2025 12:00 p.m.,2.336
2/03/2025 1:00 p.m.,2.675
2/03/2025 2:00 p.m.,2.261
2/03/2025 3:00 p.m.,2.261
2/03/2025 4:00 p.m.,2.675
2/03/2025 5:00 p.m.,1.921
2/03/2025 6:00 p.m.,2.336
2/03/2025 7:00 p.m.,2.374
2/03/2025 8:00 p.m.,2.788
2/03/2025 9:00 p.m.,2.411
2/03/2025 10:00 p.m.,2.449
2/03/2025 11:00 p.m.,2.449
3/03/2025 12:00 a.m.,2.487
3/03/2025 1:00 a.m.,2.863
3/03/2025 2:00 a.m.,2.487
3/03/2025 3:00 a.m.,2.449
3/03/2025 4:00 a.m.,2.487
3/03/2025 5:00 a.m.,2.487
3/03/2025 6:00 a.m.,2.863
3/03/2025 7:00 a.m.,2.487
3/03/2025 8:00 a.m.,2.449
3/03/2025 9:00 a.m.,2.897
3/03/2025 10:00 a.m.,3.236
3/03/2025 11:00 a.m.,2.784
3/03/2025 12:00 p.m.,2.709
3/03/2025 1:00 p.m.,2.333
3/03/2025 2:00 p.m.,2.709
3/03/2025 3:00 p.m.,2.333
3/03/2025 4:00 p.m.,2.709
3/03/2025 5:00 p.m.,2.37
3/03/2025 6:00 p.m.,2.408
3/03/2025 7:00 p.m.,2.446
3/03/2025 8:00 p.m.,2.446
3/03/2025 9:00 p.m.,2.86
3/03/2025 10:00 p.m.,2.483
3/03/2025 11:00 p.m.,2.446
4/03/2025 12:00 a.m.,2.897
4/03/2025 1:00 a.m.,2.483
4/03/2025 2:00 a.m.,2.86
4/03/2025 3:00 a.m.,2.483
4/03/2025 4:00 a.m.,2.069
4/03/2025 5:00 a.m.,2.483
4/03/2025 6:00 a.m.,2.897
4/03/2025 7:00 a.m.,2.897
4/03/2025 8:00 a.m.,2.897
4/03/2025 9:00 a.m.,3.312
4/03/2025 10:00 a.m.,2.86
4/03/2025 11:00 a.m.,3.237
4/03/2025 12:00 p.m.,2.86
4/03/2025 1:00 p.m.,2.371
4/03/2025 2:00 p.m.,3.161
4/03/2025 3:00 p.m.,2.333
4/03/2025 4:00 p.m.,3.124
4/03/2025 5:00 p.m.,2.747
4/03/2025 6:00 p.m.,2.785
4/03/2025 7:00 p.m.,2.409
4/03/2025 8:00 p.m.,2.86
4/03/2025 9:00 p.m.,2.86
4/03/2025 10:00 p.m.,2.484
4/03/2025 11:00 p.m.,2.484
5/03/2025 12:00 a.m.,2.484
5/03/2025 1:00 a.m.,2.484
5/03/2025 2:00 a.m.,2.07
5/03/2025 3:00 a.m.,2.521
5/03/2025 4:00 a.m.,2.484
5/03/2025 5:00 a.m.,2.521
5/03/2025 6:00 a.m.,2.521
5/03/2025 7:00 a.m.,2.935
5/03/2025 8:00 a.m.,2.935
5/03/2025 9:00 a.m.,2.896
5/03/2025 10:00 a.m.,2.445
5/03/2025 11:00 a.m.,2.445
5/03/2025 12:00 p.m.,2.746
5/03/2025 1:00 p.m.,2.332
5/03/2025 2:00 p.m.,2.332
5/03/2025 3:00 p.m.,2.294
5/03/2025 4:00 p.m.,2.294
5/03/2025 5:00 p.m.,1.956
5/03/2025 6:00 p.m.,2.332
5/03/2025 7:00 p.m.,2.783
5/03/2025 8:00 p.m.,1.994
5/03/2025 9:00 p.m.,2.407
5/03/2025 10:00 p.m.,2.031
5/03/2025 11:00 p.m.,2.031
6/03/2025 12:00 a.m.,2.445
6/03/2025 1:00 a.m.,2.031
6/03/2025 2:00 a.m.,2.031
6/03/2025 3:00 a.m.,2.031
6/03/2025 4:00 a.m.,2.445
6/03/2025 5:00 a.m.,2.031
6/03/2025 6:00 a.m.,2.069
6/03/2025 7:00 a.m.,2.445
6/03/2025 8:00 a.m.,2.483
6/03/2025 9:00 a.m.,2.443
6/03/2025 10:00 a.m.,3.195
6/03/2025 11:00 a.m.,2.744
6/03/2025 12:00 p.m.,2.706
6/03/2025 1:00 p.m.,2.293
6/03/2025 2:00 p.m.,2.594
6/03/2025 3:00 p.m.,2.255
6/03/2025 4:00 p.m.,2.631
6/03/2025 5:00 p.m.,2.255
6/03/2025 6:00 p.m.,2.744
6/03/2025 7:00 p.m.,2.744
6/03/2025 8:00 p.m.,2.368
6/03/2025 9:00 p.m.,2.406
6/03/2025 10:00 p.m.,2.406
6/03/2025 11:00 p.m.,2.857
7/03/2025 12:00 a.m.,2.03
7/03/2025 1:00 a.m.,2.819
7/03/2025 2:00 a.m.,2.481
7/03/2025 3:00 a.m.,2.443
7/03/2025 4:00 a.m.,2.481
7/03/2025 5:00 a.m.,2.443
7/03/2025 6:00 a.m.,2.894
7/03/2025 7:00 a.m.,2.481
7/03/2025 8:00 a.m.,3.308
7/03/2025 9:00 a.m.,2.861
7/03/2025 10:00 a.m.,2.861
7/03/2025 11:00 a.m.,3.162
7/03/2025 12:00 p.m.,3.162
7/03/2025 1:00 p.m.,2.71
7/03/2025 2:00 p.m.,2.673
7/03/2025 3:00 p.m.,2.673
7/03/2025 4:00 p.m.,2.71
7/03/2025 5:00 p.m.,2.786
7/03/2025 6:00 p.m.,2.786
7/03/2025 7:00 p.m.,2.823
7/03/2025 8:00 p.m.,2.861
7/03/2025 9:00 p.m.,2.447
7/03/2025 10:00 p.m.,2.485
7/03/2025 11:00 p.m.,2.447
8/03/2025 12:00 a.m.,2.899
8/03/2025 1:00 a.m.,2.447
