Start,kWh_E,kVAr,kVA,kWh_B,Nett_Export_MHSP
"01-Mar-2025 00:00:00",21.092,11.728,24.133,0.000,-21.092
"01-Mar-2025 00:30:00",20.352,11.156,23.209,0.000,-20.352
"01-Mar-2025 01:00:00",21.140,11.620,24.123,0.000,-21.140
"01-Mar-2025 01:30:00",20.044,10.400,22.581,0.000,-20.044
"01-Mar-2025 02:00:00",19.868,10.300,22.379,0.000,-19.868
"01-Mar-2025 02:30:00",18.928,9.560,21.205,0.000,-18.928
"01-Mar-2025 03:00:00",19.560,9.620,21.798,0.000,-19.560
"01-Mar-2025 03:30:00",19.664,9.800,21.971,0.000,-19.664
"01-Mar-2025 04:00:00",20.108,9.840,22.387,0.000,-20.108
"01-Mar-2025 04:30:00",19.628,9.352,21.742,0.000,-19.628
"01-Mar-2025 05:00:00",19.128,9.352,21.292,0.000,-19.128
"01-Mar-2025 05:30:00",19.444,9.528,21.653,0.000,-19.444
"01-Mar-2025 06:00:00",21.592,11.084,24.271,0.000,-21.592
"01-Mar-2025 06:30:00",22.984,12.352,26.093,0.000,-22.984
"01-Mar-2025 07:00:00",21.480,10.812,24.048,0.000,-21.480
"01-Mar-2025 07:30:00",23.336,12.784,26.608,0.000,-23.336
"01-Mar-2025 08:00:00",23.440,12.712,26.665,0.000,-23.440
"01-Mar-2025 08:30:00",23.784,12.668,26.947,0.000,-23.784
"01-Mar-2025 09:00:00",23.364,12.152,26.335,0.000,-23.364
"01-Mar-2025 09:30:00",23.844,12.800,27.062,0.000,-23.844
"01-Mar-2025 10:00:00",24.668,13.132,27.946,0.000,-24.668
"01-Mar-2025 10:30:00",25.532,13.700,28.975,0.000,-25.532
"01-Mar-2025 11:00:00",26.020,13.844,29.474,0.000,-26.020
"01-Mar-2025 11:30:00",26.792,14.180,30.313,0.000,-26.792
"01-Mar-2025 12:00:00",28.368,15.296,32.229,0.000,-28.368
"01-Mar-2025 12:30:00",28.780,15.500,32.689,0.000,-28.780
"01-Mar-2025 13:00:00",28.816,15.676,32.804,0.000,-28.816
"01-Mar-2025 13:30:00",28.336,15.012,32.067,0.000,-28.336
"01-Mar-2025 14:00:00",29.404,16.100,33.523,0.000,-29.404
"01-Mar-2025 14:30:00",28.512,15.648,32.524,0.000,-28.512
"01-Mar-2025 15:00:00",29.088,16.384,33.385,0.000,-29.088
"01-Mar-2025 15:30:00",27.920,15.312,31.843,0.000,-27.920
"01-Mar-2025 16:00:00",28.036,15.356,31.966,0.000,-28.036
"01-Mar-2025 16:30:00",27.512,15.176,31.420,0.000,-27.512
"01-Mar-2025 17:00:00",28.688,15.952,32.825,0.000,-28.688
"01-Mar-2025 17:30:00",27.036,14.224,30.549,0.000,-27.036
"01-Mar-2025 18:00:00",26.076,14.756,29.962,0.000,-26.076
"01-Mar-2025 18:30:00",26.760,15.136,30.744,0.000,-26.760
"01-Mar-2025 19:00:00",25.948,14.440,29.695,0.000,-25.948
"01-Mar-2025 19:30:00",26.608,15.120,30.604,0.000,-26.608
"01-Mar-2025 20:00:00",25.472,14.024,29.077,0.000,-25.472
"01-Mar-2025 20:30:00",25.784,14.280,29.474,0.000,-25.784
"01-Mar-2025 21:00:00",25.316,13.988,28.923,0.000,-25.316
"01-Mar-2025 21:30:00",24.904,14.076,28.607,0.000,-24.904
"01-Mar-2025 22:00:00",23.328,12.872,26.644,0.000,-23.328
"01-Mar-2025 22:30:00",22.624,12.308,25.755,0.000,-22.624
"01-Mar-2025 23:00:00",21.608,12.048,24.740,0.000,-21.608
"01-Mar-2025 23:30:00",21.212,11.992,24.367,0.000,-21.212
"02-Mar-2025 00:00:00",20.640,11.364,23.562,0.000,-20.640
"02-Mar-2025 00:30:00",20.716,11.536,23.711,0.000,-20.716
"02-Mar-2025 01:00:00",21.232,11.448,24.122,0.000,-21.232
"02-Mar-2025 01:30:00",19.828,10.144,22.272,0.000,-19.828
"02-Mar-2025 02:00:00",20.592,10.768,23.237,0.000,-20.592
"02-Mar-2025 02:30:00",19.988,10.324,22.497,0.000,-19.988
"02-Mar-2025 03:00:00",20.156,10.296,22.633,0.000,-20.156
"02-Mar-2025 03:30:00",21.492,11.724,24.482,0.000,-21.492
"02-Mar-2025 04:00:00",20.048,10.272,22.526,0.000,-20.048
"02-Mar-2025 04:30:00",19.708,9.856,22.035,0.000,-19.708
"02-Mar-2025 05:00:00",21.872,11.504,24.713,0.000,-21.872
"02-Mar-2025 05:30:00",20.248,10.228,22.685,0.000,-20.248
"02-Mar-2025 06:00:00",21.928,11.000,24.532,0.000,-21.928
"02-Mar-2025 06:30:00",22.820,11.920,25.746,0.000,-22.820
"02-Mar-2025 07:00:00",23.012,12.160,26.027,0.000,-23.012
"02-Mar-2025 07:30:00",23.844,12.536,26.939,0.000,-23.844
"02-Mar-2025 08:00:00",23.928,12.772,27.123,0.000,-23.928
"02-Mar-2025 08:30:00",23.884,12.904,27.147,0.000,-23.884
"02-Mar-2025 09:00:00",23.820,12.516,26.908,0.000,-23.820
