Timestamp,Meter,Imported (Wh),Imported Total reading (kWh),Imported (kWh)
01/01/2024 00:00,202,14192100,14192.1,
01/01/2024 00:30,202,14192257,14192.257,0.157
01/01/2024 01:00,202,14192383,14192.383,0.126
01/01/2024 01:30,202,14192521,14192.521,0.138
01/01/2024 02:00,202,14192650,14192.65,0.129
01/01/2024 02:30,202,14192775,14192.775,0.125
01/01/2024 03:00,202,14192918,14192.918,0.143
01/01/2024 03:30,202,14193027,14193.027,0.109
01/01/2024 04:00,202,14193115,14193.115,0.088
01/01/2024 04:30,202,14193195,14193.195,0.08
01/01/2024 05:00,202,14193290,14193.29,0.095
01/01/2024 05:30,202,14193404,14193.404,0.114
01/01/2024 06:00,202,14193488,14193.488,0.084
01/01/2024 06:30,202,14193564,14193.564,0.076
01/01/2024 07:00,202,14193643,14193.643,0.079
01/01/2024 07:30,202,14193707,14193.707,0.064
01/01/2024 08:00,202,14193801,14193.801,0.094
01/01/2024 08:30,202,14193881,14193.881,0.08
01/01/2024 09:00,202,14193947,14193.947,0.066
01/01/2024 09:30,202,14194753,14194.753,0.806
01/01/2024 10:00,202,14194935,14194.935,0.182
01/01/2024 10:30,202,14195291,14195.291,0.356
01/01/2024 11:00,202,14195673,14195.673,0.382
01/01/2024 11:30,202,14195921,14195.921,0.248
01/01/2024 12:00,202,14196544,14196.544,0.623
01/01/2024 12:30,202,14197574,14197.574,1.03
01/01/2024 13:00,202,14198535,14198.535,0.961
01/01/2024 13:30,202,14198805,14198.805,0.27
01/01/2024 14:00,202,14198948,14198.948,0.143
01/01/2024 14:30,202,14199098,14199.098,0.15
01/01/2024 15:00,202,14200118,14200.118,1.02
01/01/2024 15:30,202,14200788,14200.788,0.67
01/01/2024 16:00,202,14202189,14202.189,1.401
01/01/2024 16:30,202,14202943,14202.943,0.754
01/01/2024 17:00,202,14203669,14203.669,0.726
01/01/2024 17:30,202,14204069,14204.069,0.4
01/01/2024 18:00,202,14204314,14204.314,0.245
01/01/2024 18:30,202,14204537,14204.537,0.223
01/01/2024 19:00,202,14204760,14204.76,0.223
01/01/2024 19:30,202,14205026,14205.026,0.266
01/01/2024 20:00,202,14205236,14205.236,0.21
01/01/2024 20:30,202,14205481,14205.481,0.245
01/01/2024 21:00,202,14206411,14206.411,0.93
01/01/2024 21:30,202,14206762,14206.762,0.351
01/01/2024 22:00,202,14207407,14207.407,0.645
01/01/2024 22:30,202,14208052,14208.052,0.645
