Timestamp,Meter,Imported (Wh),Imported Total reading (kWh),Imported (kWh)
1/1/2024 0:00,202,14192100,14192.1,0
1/1/2024 0:05,202,14192127,14192.127,0.027
1/1/2024 0:10,202,14192153,14192.153,0.026
1/1/2024 0:15,202,14192179,14192.179,0.026
1/1/2024 0:20,202,14192205,14192.205,0.026
1/1/2024 0:25,202,14192231,14192.231,0.026
1/1/2024 0:30,202,14192257,14192.257,0.026
1/1/2024 0:35,202,14192276,14192.276,0.019
1/1/2024 0:40,202,14192296,14192.296,0.02
1/1/2024 0:45,202,14192315,14192.315,0.019
1/1/2024 0:50,202,14192335,14192.335,0.02
1/1/2024 0:55,202,14192358,14192.358,0.023
1/1/2024 1:00,202,14192383,14192.383,0.025
1/1/2024 1:05,202,14192408,14192.408,0.025
1/1/2024 1:10,202,14192433,14192.433,0.025
1/1/2024 1:15,202,14192458,14192.458,0.025
1/1/2024 1:20,202,14192482,14192.482,0.024
1/1/2024 1:25,202,14192502,14192.502,0.02
1/1/2024 1:30,202,14192521,14192.521,0.019
1/1/2024 1:35,202,14192539,14192.539,0.018
1/1/2024 1:40,202,14192558,14192.558,0.019
1/1/2024 1:45,202,14192577,14192.577,0.019
1/1/2024 1:50,202,14192602,14192.602,0.025
1/1/2024 1:55,202,14192626,14192.626,0.024
1/1/2024 2:00,202,14192650,14192.65,0.024
1/1/2024 2:05,202,14192674,14192.674,0.024
1/1/2024 2:10,202,14192698,14192.698,0.024
1/1/2024 2:15,202,14192721,14192.721,0.023
1/1/2024 2:20,202,14192740,14192.74,0.019
1/1/2024 2:25,202,14192759,14192.759,0.019
1/1/2024 2:30,202,14192775,14192.775,0.016
1/1/2024 2:35,202,14192789,14192.789,0.014
1/1/2024 2:40,202,14192819,14192.819,0.03
1/1/2024 2:45,202,14192845,14192.845,0.026
1/1/2024 2:50,202,14192872,14192.872,0.027
1/1/2024 2:55,202,14192888,14192.888,0.016
1/1/2024 3:00,202,14192918,14192.918,0.03
1/1/2024 3:05,202,14192939,14192.939,0.021
1/1/2024 3:10,202,14192949,14192.949,0.01
1/1/2024 3:15,202,14192970,14192.97,0.021
1/1/2024 3:20,202,14192985,14192.985,0.015
1/1/2024 3:25,202,14193002,14193.002,0.017
1/1/2024 3:30,202,14193027,14193.027,0.025
1/1/2024 3:35,202,14193043,14193.043,0.016
1/1/2024 3:40,202,14193056,14193.056,0.013
1/1/2024 3:45,202,14193076,14193.076,0.02
1/1/2024 3:50,202,14193088,14193.088,0.012
1/1/2024 3:55,202,14193104,14193.104,0.016
1/1/2024 4:00,202,14193115,14193.115,0.011
1/1/2024 4:05,202,14193127,14193.127,0.012
1/1/2024 4:10,202,14193135,14193.135,0.008
1/1/2024 4:15,202,14193149,14193.149,0.014
1/1/2024 4:20,202,14193162,14193.162,0.013
1/1/2024 4:25,202,14193183,14193.183,0.021
1/1/2024 4:30,202,14193195,14193.195,0.012
1/1/2024 4:35,202,14193216,14193.216,0.021
1/1/2024 4:40,202,14193228,14193.228,0.012
1/1/2024 4:45,202,14193242,14193.242,0.014
1/1/2024 4:50,202,14193254,14193.254,0.012
1/1/2024 4:55,202,14193270,14193.27,0.016
1/1/2024 5:00,202,14193290,14193.29,0.02
1/1/2024 5:05,202,14193301,14193.301,0.011
1/1/2024 5:10,202,14193325,14193.325,0.024
1/1/2024 5:15,202,14193345,14193.345,0.02
1/1/2024 5:20,202,14193364,14193.364,0.019
1/1/2024 5:25,202,14193389,14193.389,0.025
1/1/2024 5:30,202,14193404,14193.404,0.015
1/1/2024 5:35,202,14193418,14193.418,0.014
1/1/2024 5:40,202,14193436,14193.436,0.018
1/1/2024 5:45,202,14193447,14193.447,0.011
1/1/2024 5:50,202,14193459,14193.459,0.012
1/1/2024 5:55,202,14193476,14193.476,0.017
1/1/2024 6:00,202,14193488,14193.488,0.012
1/1/2024 6:05,202,14193501,14193.501,0.013
1/1/2024 6:10,202,14193520,14193.52,0.019
1/1/2024 6:15,202,14193533,14193.533,0.013
1/1/2024 6:20,202,14193545,14193.545,0.012
1/1/2024 6:25,202,14193558,14193.558,0.013
1/1/2024 6:30,202,14193564,14193.564,0.006
1/1/2024 6:35,202,14193576,14193.576,0.012
1/1/2024 6:40,202,14193582,14193.582,0.006
1/1/2024 6:45,202,14193594,14193.594,0.012
1/1/2024 6:50,202,14193611,14193.611,0.017
1/1/2024 6:55,202,14193623,14193.623,0.012
1/1/2024 7:00,202,14193643,14193.643,0.02
1/1/2024 7:05,202,14193656,14193.656,0.013
1/1/2024 7:10,202,14193670,14193.67,0.014
1/1/2024 7:15,202,14193680,14193.68,0.01
1/1/2024 7:20,202,14193688,14193.688,0.008
1/1/2024 7:25,202,14193701,14193.701,0.013
1/1/2024 7:30,202,14193707,14193.707,0.006
1/1/2024 7:35,202,14193726,14193.726,0.019
1/1/2024 7:40,202,14193738,14193.738,0.012
1/1/2024 7:45,202,14193759,14193.759,0.021
1/1/2024 7:50,202,14193771,14193.771,0.012
1/1/2024 7:55,202,14193792,14193.792,0.021
1/1/2024 8:00,202,14193801,14193.801,0.009
1/1/2024 8:05,202,14193817,14193.817,0.016
1/1/2024 8:10,202,14193823,14193.823,0.006
1/1/2024 8:15,202,14193839,14193.839,0.016
1/1/2024 8:20,202,14193846,14193.846,0.007
1/1/2024 8:25,202,14193866,14193.866,0.02
1/1/2024 8:30,202,14193881,14193.881,0.015
1/1/2024 8:35,202,14193900,14193.9,0.019
1/1/2024 8:40,202,14193911,14193.911,0.011
1/1/2024 8:45,202,14193922,14193.922,0.011
1/1/2024 8:50,202,14193929,14193.929,0.007
1/1/2024 8:55,202,14193935,14193.935,0.006
1/1/2024 9:00,202,14193947,14193.947,0.012
1/1/2024 9:05,202,14193967,14193.967,0.02
1/1/2024 9:10,202,14194302,14194.302,0.335
1/1/2024 9:15,202,14194614,14194.614,0.312
1/1/2024 9:20,202,14194704,14194.704,0.09
1/1/2024 9:25,202,14194728,14194.728,0.024
1/1/2024 9:30,202,14194753,14194.753,0.025
1/1/2024 9:35,202,14194775,14194.775,0.022
1/1/2024 9:40,202,14194807,14194.807,0.032
1/1/2024 9:45,202,14194844,14194.844,0.037
1/1/2024 9:50,202,14194882,14194.882,0.038
1/1/2024 9:55,202,14194907,14194.907,0.025
1/1/2024 10:00,202,14194935,14194.935,0.028
1/1/2024 10:05,202,14194965,14194.965,0.03
1/1/2024 10:10,202,14194994,14194.994,0.029
1/1/2024 10:15,202,14195024,14195.024,0.03
1/1/2024 10:20,202,14195056,14195.056,0.032
1/1/2024 10:25,202,14195097,14195.097,0.041
1/1/2024 10:30,202,14195291,14195.291,0.194
1/1/2024 10:35,202,14195465,14195.465,0.174
1/1/2024 10:40,202,14195513,14195.513,0.048
1/1/2024 10:45,202,14195561,14195.561,0.048
1/1/2024 10:50,202,14195601,14195.601,0.04
1/1/2024 10:55,202,14195639,14195.639,0.038
1/1/2024 11:00,202,14195673,14195.673,0.034
1/1/2024 11:05,202,14195712,14195.712,0.039
1/1/2024 11:10,202,14195752,14195.752,0.04
1/1/2024 11:15,202,14195789,14195.789,0.037
1/1/2024 11:20,202,14195830,14195.83,0.041
1/1/2024 11:25,202,14195872,14195.872,0.042
1/1/2024 11:30,202,14195921,14195.921,0.049
1/1/2024 11:35,202,14195961,14195.961,0.04
1/1/2024 11:40,202,14196004,14196.004,0.043
1/1/2024 11:45,202,14196033,14196.033,0.029
1/1/2024 11:50,202,14196206,14196.206,0.173
1/1/2024 11:55,202,14196375,14196.375,0.169
1/1/2024 12:00,202,14196544,14196.544,0.169
1/1/2024 12:05,202,14196711,14196.711,0.167
1/1/2024 12:10,202,14196878,14196.878,0.167
1/1/2024 12:15,202,14197051,14197.051,0.173
1/1/2024 12:20,202,14197227,14197.227,0.176
1/1/2024 12:25,202,14197403,14197.403,0.176
1/1/2024 12:30,202,14197574,14197.574,0.171
1/1/2024 12:35,202,14197741,14197.741,0.167
1/1/2024 12:40,202,14197902,14197.902,0.161
1/1/2024 12:45,202,14198059,14198.059,0.157
1/1/2024 12:50,202,14198216,14198.216,0.157
1/1/2024 12:55,202,14198373,14198.373,0.157
1/1/2024 13:00,202,14198535,14198.535,0.162
1/1/2024 13:05,202,14198624,14198.624,0.089
1/1/2024 13:10,202,14198670,14198.67,0.046
1/1/2024 13:15,202,14198710,14198.71,0.04
1/1/2024 13:20,202,14198751,14198.751,0.041
1/1/2024 13:25,202,14198780,14198.78,0.029
1/1/2024 13:30,202,14198805,14198.805,0.025
1/1/2024 13:35,202,14198827,14198.827,0.022
1/1/2024 13:40,202,14198849,14198.849,0.022
1/1/2024 13:45,202,14198870,14198.87,0.021
