DateTime,kWh_IMP,kWh_EXP,kvarh_IMP,kvarh_EXP,kVAh,V,I,kW,I_THD,Meter
13/11/2024 14:00,17429.728,0,1393.285,3397.706,19173.153,242,0.7,0.084,36.5,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 14:15,17429.74,0,1393.285,3397.736,19173.186,241.9,0.59,0.053,17.6,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 14:30,17429.759,0,1393.285,3397.767,19173.222,241.7,0.74,0.093,44,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 14:45,17429.782,0,1393.285,3397.807,19173.269,242.2,0.73,0.088,41.5,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 15:00,17429.796,0,1393.285,3397.838,19173.302,241.9,0.72,0.092,38.2,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 15:15,17429.817,0,1393.285,3397.869,19173.34,242,0.75,0.091,44.3,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 15:30,17429.834,0,1393.285,3397.899,19173.375,242.2,0.71,0.086,41.9,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 15:45,17429.854,0,1393.285,3397.939,19173.42,242.2,0.74,0.094,40.3,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 16:00,17429.875,0,1393.285,3397.97,19173.458,242.1,0.74,0.094,40.2,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 16:15,17429.889,0,1393.285,3398.001,19173.491,242.2,0.59,0.055,17.9,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 16:30,17430.203,0,1393.285,3398.031,19173.819,241.7,15.16,3.638,42.2,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 16:45,17430.443,0,1393.285,3398.071,19174.075,241.3,15.17,3.639,38.7,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 17:00,17430.455,0,1393.285,3398.101,19174.108,241.8,0.59,0.054,15.9,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 17:15,17430.476,0,1393.285,3398.132,19174.146,240.4,0.76,0.093,44.8,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 17:30,17430.495,0,1393.285,3398.163,19174.182,240.1,0.72,0.085,39.4,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 17:45,17430.513,0,1393.285,3398.202,19174.225,240.6,0.75,0.093,44.6,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 18:00,17430.534,0,1393.285,3398.234,19174.263,240.9,0.75,0.093,46.9,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 18:15,17430.55,0,1393.285,3398.264,19174.297,239.7,0.72,0.083,40.7,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 18:30,17430.564,0,1393.285,3398.294,19174.33,239.7,0.73,0.088,47.7,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 18:45,17430.59,0,1393.285,3398.333,19174.378,240.2,0.75,0.088,48.5,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 19:00,17430.603,0,1393.285,3398.363,19174.411,240.6,0.59,0.054,14.7,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 19:15,17430.622,0,1393.285,3398.395,19174.447,240,0.75,0.092,44.2,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 19:30,17430.642,0,1393.285,3398.426,19174.485,240.1,0.74,0.09,41.3,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 19:45,17430.659,0,1393.285,3398.465,19174.527,241.1,0.71,0.081,37.6,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 20:00,17430.681,0,1393.285,3398.497,19174.566,241.3,0.79,0.096,47.5,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 20:15,17430.698,0,1393.285,3398.529,19174.602,241.6,0.72,0.087,39.9,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 20:30,17430.712,0,1393.285,3398.559,19174.636,241.8,0.75,0.091,45,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 20:45,17430.739,0,1393.285,3398.601,19174.685,242.7,0.77,0.093,48.5,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 21:00,17430.754,0,1393.285,3398.632,19174.72,242.5,0.72,0.085,37.6,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 21:15,17430.77,0,1393.285,3398.664,19174.755,242.6,0.77,0.091,46,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 21:30,17430.791,0,1393.285,3398.696,19174.794,242.6,0.76,0.092,43.7,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 21:45,17430.81,0,1393.285,3398.736,19174.839,243.4,0.71,0.084,36.4,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 22:00,17430.829,0,1393.285,3398.769,19174.877,243.3,0.78,0.092,45.2,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 22:15,17430.849,0,1393.285,3398.802,19174.916,244.6,0.75,0.089,41.8,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 22:30,17430.862,0,1393.285,3398.834,19174.95,243.2,0.61,0.054,15.6,RMT-APL-01-MDB5-APR48-01-50002673-DL1
13/11/2024 22:45,17430.887,0,1393.285,3398.877,19175,243.6,0.77,0.091,46,RMT-APL-01-MDB5-APR48-01-50002673-DL1
