Meter,DateTime,kWh_IMP,kWh_EXP,kvarh_IMP,kvarh_EXP,kVAh,V,I,kW,I_THD
RMT-APL-01-MDB5-APR48-01-50002673-DL1,2024-11-18 06:59:40,17490.128,0.0,1393.777,3412.182,19238.808,239.3,16.25,3.887,34.8
RMT-APL-01-MDB5-APR48-01-50002673-DL1,2024-11-18 07:13:40,17491.034,0.0,1393.777,3412.185,19239.714,239.2,16.32,3.897,2.8
RMT-APL-01-MDB5-APR48-01-50002673-DL1,2024-11-18 07:27:40,17492.298,0.0,1393.778,3412.191,19240.979,237.7,26.33,6.244,3.5
RMT-APL-01-MDB5-APR48-01-50002673-DL1,2024-11-18 07:41:40,17493.395,0.0,1393.781,3412.191,19242.075,237.7,25.91,6.151,3.1
RMT-APL-01-MDB5-APR48-01-50002673-DL1,2024-11-18 07:59:39,17493.729,0.0,1393.784,3412.192,19242.407,239.5,16.28,3.87,26.0
RMT-APL-01-MDB5-APR48-01-50002673-DL1,2024-11-18 08:13:39,17493.789,0.0,1393.784,3412.2,19242.467,239.9,1.17,0.267,26.0
RMT-APL-01-MDB5-APR48-01-50002673-DL1,2024-11-18 08:27:39,17493.85,0.0,1393.784,3412.21,19242.529,239.8,1.2,0.273,25.0
RMT-APL-01-MDB5-APR48-01-50002673-DL1,2024-11-18 08:41:39,17493.911,0.0,1393.784,3412.223,19242.591,239.7,1.17,0.265,27.2
RMT-APL-01-MDB5-APR48-01-50002673-DL1,2024-11-18 08:59:39,17493.983,0.0,1393.784,3412.24,19242.665,239.8,1.13,0.257,26.5
RMT-APL-01-MDB5-APR48-01-50002673-DL1,2024-11-18 09:13:39,17494.041,0.0,1393.784,3412.253,19242.725,239.6,1.17,0.262,26.0
RMT-APL-01-MDB5-APR48-01-50002673-DL1,2024-11-18 09:27:39,17494.102,0.0,1393.784,3412.267,19242.788,241.1,1.17,0.265,26.4
RMT-APL-01-MDB5-APR48-01-50002673-DL1,2024-11-18 09:41:39,17494.162,0.0,1393.784,3412.28,19242.849,241.7,1.14,0.259,26.2
RMT-APL-01-MDB5-APR48-01-50002673-DL1,2024-11-18 09:59:39,17494.233,0.0,1393.784,3412.296,19242.922,242.0,1.17,0.264,26.0
RMT-APL-01-MDB5-APR48-01-50002673-DL1,2024-11-18 10:13:39,17494.542,0.0,1393.784,3412.309,19243.233,242.3,15.97,3.857,25.8
RMT-APL-01-MDB5-APR48-01-50002673-DL1,2024-11-18 10:27:39,17494.778,0.0,1393.784,3412.322,19243.468,242.0,1.13,0.26,24.3
RMT-APL-01-MDB5-APR48-01-50002673-DL1,2024-11-18 10:41:39,17494.833,0.0,1393.784,3412.334,19243.525,241.3,1.11,0.254,23.8
RMT-APL-01-MDB5-APR48-01-50002673-DL1,2024-11-18 10:59:40,17494.908,0.0,1393.784,3412.351,19243.602,241.6,1.15,0.262,26.6
RMT-APL-01-MDB5-APR48-01-50002673-DL1,2024-11-18 11:13:40,17494.969,0.0,1393.784,3412.365,19243.664,242.6,1.14,0.262,25.6
RMT-APL-01-MDB5-APR48-01-50002673-DL1,2024-11-18 11:27:40,17495.026,0.0,1393.784,3412.378,19243.723,241.5,1.14,0.259,25.9
RMT-APL-01-MDB5-APR48-01-50002673-DL1,2024-11-18 11:41:40,17495.082,0.0,1393.784,3412.39,19243.781,242.1,1.14,0.262,24.7
RMT-APL-01-MDB5-APR48-01-50002673-DL1,2024-11-18 11:59:40,17495.5,0.0,1393.902,3412.398,19244.218,242.2,10.53,2.413,23.9
RMT-APL-01-MDB5-APR48-01-50002673-DL1,2024-11-18 12:28:40,17496.68,0.0,1394.231,3412.398,19245.443,241.3,10.81,2.493,15.0
RMT-APL-01-MDB5-APR48-01-50002673-DL1,2024-11-18 12:42:40,17497.263,0.0,1394.391,3412.398,19246.047,241.4,10.95,2.522,15.3
RMT-APL-01-MDB5-APR48-01-50002673-DL1,2024-11-18 12:59:39,17497.973,0.0,1394.585,3412.398,19246.784,241.4,11.03,2.538,15.1
RMT-APL-01-MDB5-APR48-01-50002673-DL1,2024-11-18 13:13:39,17498.557,0.0,1394.744,3412.398,19247.389,241.4,10.9,2.509,15.0
RMT-APL-01-MDB5-APR48-01-50002673-DL1,2024-11-18 13:27:39,17499.151,0.0,1394.903,3412.398,19248.004,241.7,11.2,2.587,14.9
